shipment_date,region,transport_mode,shipment_volume,distance_km,delivery_time_days,delivery_delay_days,transport_cost,customer_satisfaction,delivery_status
2025-02-06,West,Rail,600,423,4.64,0.64,1226.48,4.3,Delayed
2025-02-07,North,Rail,725,1138,5.27,1.27,2731.53,4.3,Delayed
2025-02-08,North,Road,592,195,2.13,0.0,689.97,4.9,On Time
2025-02-09,East,Rail,174,273,2.37,0.0,634.13,5.0,On Time
2025-02-10,East,Road,512,1312,6.11,2.11,2906.71,3.9,Delayed
2025-02-11,East,Rail,475,226,2.83,0.0,762.95,5.0,On Time
2025-02-12,South,Rail,519,902,5.01,1.01,2035.17,4.6,Delayed
2025-02-13,West,Road,828,1355,6.66,2.66,3136.21,4.0,Delayed
2025-02-14,West,Road,376,112,2.77,0.0,380.97,5.0,On Time
2025-02-15,West,Air,860,1290,7.25,3.25,3021.57,3.6,Delayed
2025-02-16,West,Road,775,876,5.19,1.19,2014.4,5.0,Delayed
2025-02-17,East,Road,493,844,5.55,1.55,2195.1,4.3,Delayed
2025-02-18,South,Road,968,738,5.14,1.14,1886.71,5.0,Delayed
2025-02-19,South,Rail,556,154,2.0,0.0,549.85,5.0,On Time
2025-02-20,East,Rail,291,1172,5.58,1.58,2407.57,4.2,Delayed
2025-02-21,South,Road,838,560,4.72,0.72,1600.57,4.5,Delayed
2025-02-22,East,Road,788,434,4.29,0.29,1242.4,5.0,Delayed
2025-02-23,West,Road,198,454,3.26,0.0,910.62,5.0,On Time
2025-02-24,East,Rail,647,872,5.46,1.46,2133.19,4.4,Delayed
2025-02-25,West,Road,195,567,3.52,0.0,1310.66,5.0,On Time
2025-02-26,West,Rail,763,525,3.99,0.0,1424.81,4.6,On Time
2025-02-27,North,Road,762,758,4.71,0.71,1830.64,4.2,Delayed
2025-02-28,East,Air,289,820,4.68,0.68,2003.61,5.0,Delayed
2025-03-01,North,Road,835,1096,6.45,2.45,2643.51,3.7,Delayed
2025-03-02,East,Road,136,1046,5.17,1.17,2032.59,4.6,Delayed
2025-03-03,East,Road,879,726,4.32,0.32,2032.9,4.6,Delayed
2025-03-04,North,Air,468,763,4.23,0.23,1674.42,5.0,Delayed
2025-03-05,North,Air,794,132,3.98,0.0,935.19,4.5,On Time
2025-03-06,East,Road,624,1218,6.58,2.58,2755.97,3.3,Delayed
2025-03-07,South,Rail,378,1158,5.76,1.76,2606.33,4.6,Delayed
2025-03-08,West,Air,316,1151,5.82,1.82,2252.0,3.3,Delayed
2025-03-09,North,Rail,966,506,5.72,1.72,1366.59,4.3,Delayed
2025-03-10,West,Road,972,50,4.11,0.11,719.39,4.9,Delayed
2025-03-11,South,Road,897,100,2.34,0.0,680.28,4.8,On Time
2025-03-12,South,Road,372,734,3.59,0.0,1858.24,4.9,On Time
2025-03-13,South,Air,980,766,4.71,0.71,2070.52,4.4,Delayed
2025-03-14,North,Air,161,498,2.61,0.0,1091.03,5.0,On Time
2025-03-15,South,Rail,695,930,5.52,1.52,2378.86,4.8,Delayed
2025-03-16,North,Road,979,537,4.87,0.87,1664.51,4.4,Delayed
2025-03-17,South,Road,828,83,2.17,0.0,560.37,5.0,On Time
2025-03-18,West,Rail,441,1421,5.68,1.68,2953.09,3.8,Delayed
2025-03-19,West,Air,496,144,2.09,0.0,298.84,5.0,On Time
2025-03-20,East,Air,798,1145,6.87,2.87,2645.23,3.9,Delayed
2025-03-21,West,Rail,118,203,2.46,0.0,346.37,4.9,On Time
2025-03-22,East,Rail,276,299,3.4,0.0,995.77,5.0,On Time
2025-03-23,West,Road,711,723,4.82,0.82,1736.46,4.6,Delayed
2025-03-24,North,Road,495,487,4.03,0.03,1153.73,4.5,Delayed
2025-03-25,West,Air,544,167,3.15,0.0,453.88,5.0,On Time
2025-03-26,East,Rail,332,820,4.15,0.15,1779.37,4.7,Delayed
2025-03-27,East,Road,175,1379,6.14,2.14,2779.05,3.7,Delayed
2025-03-28,South,Road,364,317,3.11,0.0,989.77,5.0,On Time
2025-03-29,North,Rail,554,1127,5.41,1.41,2547.85,4.6,Delayed
2025-03-30,West,Road,895,285,4.56,0.56,1016.61,4.5,Delayed
2025-03-31,South,Road,817,438,4.07,0.07,1271.03,4.4,Delayed
2025-04-01,West,Road,834,1039,6.17,2.17,2573.62,3.6,Delayed
2025-04-02,West,Rail,483,812,4.2,0.2,1820.27,5.0,Delayed
2025-04-03,South,Rail,663,450,3.44,0.0,1298.22,5.0,On Time
2025-04-04,South,Road,950,673,4.05,0.05,1982.4,4.6,Delayed
2025-04-05,South,Rail,605,816,4.96,0.96,1980.51,4.1,Delayed
2025-04-06,South,Road,466,1376,7.77,3.77,2960.03,2.7,Delayed
2025-04-07,South,Road,243,968,4.2,0.2,1962.15,4.4,Delayed
2025-04-08,West,Rail,984,1280,8.72,4.72,3024.49,3.0,Delayed
2025-04-09,South,Rail,168,1302,6.38,2.38,2744.31,4.3,Delayed
2025-04-10,North,Air,198,902,4.17,0.17,1749.75,5.0,Delayed
2025-04-11,East,Rail,495,627,4.09,0.09,1584.65,4.8,Delayed
2025-04-12,South,Rail,124,124,1.59,0.0,330.76,5.0,On Time
2025-04-13,South,Road,990,484,5.45,1.45,1448.08,4.3,Delayed
2025-04-14,West,Road,568,152,2.9,0.0,522.06,5.0,On Time
2025-04-15,South,Road,583,1495,7.74,3.74,3233.86,3.0,Delayed
2025-04-16,South,Road,664,813,5.22,1.22,2017.73,4.4,Delayed
2025-04-17,South,Air,250,787,4.07,0.07,1686.18,4.6,Delayed
2025-04-18,West,Road,243,855,4.5,0.5,1781.39,4.9,Delayed
2025-04-19,South,Air,668,1379,6.73,2.73,3138.86,3.7,Delayed
2025-04-20,East,Rail,138,147,1.04,0.0,413.82,4.7,On Time
2025-04-21,West,Rail,208,847,4.65,0.65,1673.08,4.4,Delayed
2025-04-22,East,Road,792,1408,6.53,2.53,3269.15,4.2,Delayed
2025-04-23,West,Rail,141,908,4.17,0.17,2136.67,5.0,Delayed
2025-04-24,South,Road,285,484,2.96,0.0,1157.46,4.9,On Time
2025-04-25,East,Road,497,496,3.97,0.0,1070.6,5.0,On Time
2025-04-26,West,Rail,322,1381,7.03,3.03,2940.74,3.6,Delayed
2025-04-27,North,Road,733,298,4.06,0.06,779.42,5.0,Delayed
2025-04-28,South,Road,232,215,2.52,0.0,862.74,4.5,On Time
2025-04-29,West,Rail,262,1033,4.65,0.65,2420.57,4.8,Delayed
2025-04-30,North,Road,314,1408,6.23,2.23,2906.41,3.3,Delayed
2025-05-01,West,Air,832,1069,6.06,2.06,2329.43,3.8,Delayed
2025-05-02,North,Air,334,591,3.4,0.0,1261.16,5.0,On Time
2025-05-03,South,Air,942,808,5.38,1.38,2068.9,4.5,Delayed
2025-05-04,East,Road,757,1179,6.23,2.23,2560.31,3.6,Delayed
2025-05-05,North,Road,850,130,2.9,0.0,678.1,4.9,On Time
2025-05-06,West,Air,687,182,3.46,0.0,688.74,4.8,On Time
2025-05-07,South,Road,108,846,3.51,0.0,1758.52,5.0,On Time
2025-05-08,North,Air,173,949,4.14,0.14,2007.46,4.9,Delayed
2025-05-09,West,Air,591,187,2.01,0.0,572.94,5.0,On Time
2025-05-10,West,Air,352,233,3.19,0.0,556.66,4.8,On Time
2025-05-11,West,Road,329,1474,6.17,2.17,3117.06,4.0,Delayed
2025-05-12,North,Road,618,1403,7.24,3.24,3051.9,3.5,Delayed
2025-05-13,North,Air,273,834,4.56,0.56,1895.25,4.8,Delayed
2025-05-14,North,Road,752,1033,6.61,2.61,2445.59,3.6,Delayed
2025-05-15,East,Road,267,118,1.82,0.0,556.0,5.0,On Time
2025-05-16,North,Rail,269,595,3.05,0.0,1406.55,5.0,On Time
2025-05-17,North,Air,492,102,1.55,0.0,560.37,5.0,On Time
2025-05-18,North,Rail,894,254,2.24,0.0,968.26,5.0,On Time
2025-05-19,East,Rail,733,175,3.13,0.0,732.24,4.7,On Time
2025-05-20,North,Road,293,92,2.28,0.0,503.63,4.9,On Time
2025-05-21,West,Rail,616,160,3.0,0.0,590.17,4.5,On Time
2025-05-22,North,Air,128,810,3.19,0.0,1738.68,5.0,On Time
2025-05-23,West,Road,264,1256,6.23,2.23,2617.38,3.8,Delayed
2025-05-24,West,Road,521,897,4.68,0.68,2027.64,4.7,Delayed
2025-05-25,West,Air,438,144,1.9,0.0,390.11,4.8,On Time
2025-05-26,East,Rail,747,1447,6.96,2.96,3193.25,3.4,Delayed
2025-05-27,East,Rail,595,949,5.39,1.39,2102.67,4.7,Delayed
2025-05-28,East,Rail,464,409,2.55,0.0,1109.44,5.0,On Time
2025-05-29,North,Road,932,949,6.01,2.01,2468.02,4.0,Delayed
2025-05-30,West,Road,441,330,3.2,0.0,871.02,5.0,On Time
2025-05-31,East,Air,599,1268,6.98,2.98,2858.46,3.7,Delayed
2025-06-01,East,Air,756,1268,6.83,2.83,2898.75,3.5,Delayed
2025-06-02,North,Air,610,716,3.94,0.0,1655.92,4.6,On Time
2025-06-03,East,Air,426,142,2.4,0.0,583.23,4.7,On Time
2025-06-04,North,Road,316,721,3.51,0.0,1665.25,4.6,On Time
2025-06-05,South,Road,400,110,1.61,0.0,230.75,5.0,On Time
2025-06-06,East,Rail,231,683,3.06,0.0,1453.19,5.0,On Time
2025-06-07,South,Rail,903,1124,5.6,1.6,2611.3,4.7,Delayed
2025-06-08,North,Rail,169,1476,5.97,1.97,2997.41,3.4,Delayed
2025-06-09,West,Rail,351,1078,5.86,1.86,2264.46,4.4,Delayed
2025-06-10,East,Air,514,653,5.33,1.33,1558.36,5.0,Delayed
2025-06-11,North,Road,886,731,4.92,0.92,1872.01,4.9,Delayed
2025-06-12,West,Road,544,583,4.57,0.57,1402.89,4.1,Delayed
2025-06-13,West,Road,975,1478,7.68,3.68,3554.24,3.7,Delayed
2025-06-14,South,Rail,281,887,3.69,0.0,1970.22,5.0,On Time
2025-06-15,North,Road,266,694,4.2,0.2,1450.61,4.8,Delayed
2025-06-16,West,Road,190,282,2.44,0.0,603.45,5.0,On Time
2025-06-17,East,Road,813,573,5.45,1.45,1601.68,4.0,Delayed
2025-06-18,East,Road,957,395,3.46,0.0,1317.54,5.0,On Time
2025-06-19,South,Rail,630,1119,7.39,3.39,2492.62,3.8,Delayed
2025-06-20,West,Road,138,595,4.06,0.06,1235.6,5.0,Delayed
2025-06-21,North,Road,225,1151,5.28,1.28,2599.18,4.4,Delayed
2025-06-22,East,Air,550,1146,5.77,1.77,2508.35,4.1,Delayed
2025-06-23,West,Road,272,843,4.0,0.0,2013.08,4.6,On Time
2025-06-24,West,Road,752,298,3.55,0.0,1082.37,5.0,On Time
2025-06-25,South,Road,853,96,2.93,0.0,791.04,4.5,On Time
2025-06-26,East,Rail,319,1194,5.87,1.87,2484.59,4.4,Delayed
2025-06-27,East,Road,737,263,3.2,0.0,877.64,4.3,On Time
2025-06-28,North,Rail,157,288,2.98,0.0,609.58,5.0,On Time
2025-06-29,East,Road,759,1129,6.34,2.34,2750.18,4.1,Delayed
2025-06-30,North,Road,575,399,3.35,0.0,1028.73,5.0,On Time
2025-07-01,East,Road,555,156,3.14,0.0,662.62,5.0,On Time
2025-07-02,South,Road,928,880,4.98,0.98,2291.83,4.8,Delayed
2025-07-03,East,Rail,994,97,3.48,0.0,686.2,5.0,On Time
2025-07-04,North,Rail,460,386,3.22,0.0,1131.87,4.6,On Time
2025-07-05,North,Air,100,1099,4.16,0.16,2258.77,5.0,Delayed
2025-07-06,South,Road,486,853,3.96,0.0,2032.41,5.0,On Time
2025-07-07,East,Road,447,1330,6.83,2.83,2834.03,3.2,Delayed
2025-07-08,East,Rail,289,57,2.25,0.0,186.16,4.9,On Time
2025-07-09,South,Road,604,674,4.54,0.54,1723.11,4.6,Delayed
2025-07-10,East,Road,290,1326,6.86,2.86,2840.08,3.7,Delayed
2025-07-11,East,Road,607,768,4.99,0.99,1863.83,5.0,Delayed
2025-07-12,North,Road,468,352,3.73,0.0,903.63,5.0,On Time
2025-07-13,East,Air,508,688,4.52,0.52,1784.92,4.8,Delayed
2025-07-14,East,Air,923,105,3.06,0.0,559.84,5.0,On Time
2025-07-15,South,Rail,216,775,3.49,0.0,1540.87,5.0,On Time
2025-07-16,South,Road,233,575,3.08,0.0,1360.72,5.0,On Time
2025-07-17,West,Road,157,523,2.93,0.0,1210.51,4.9,On Time
2025-07-18,North,Road,655,77,3.25,0.0,516.88,5.0,On Time
2025-07-19,East,Road,784,127,3.38,0.0,617.2,5.0,On Time
2025-07-20,East,Road,771,1289,7.0,3.0,3013.74,3.5,Delayed
2025-07-21,West,Rail,272,1459,6.84,2.84,3226.08,4.0,Delayed
2025-07-22,East,Rail,928,414,4.5,0.5,1543.55,4.6,Delayed
2025-07-23,North,Road,914,715,5.34,1.34,1721.36,4.5,Delayed
2025-07-24,West,Air,248,575,2.66,0.0,1232.11,5.0,On Time
2025-07-25,North,Rail,179,748,4.42,0.42,1537.32,4.6,Delayed
2025-07-26,West,Rail,985,1385,7.36,3.36,3425.15,3.1,Delayed
2025-07-27,West,Rail,312,932,5.27,1.27,1771.87,4.3,Delayed
2025-07-28,South,Road,302,1080,5.8,1.8,2362.38,4.0,Delayed
2025-07-29,North,Road,863,1076,5.98,1.98,2557.82,4.4,Delayed
2025-07-30,East,Road,328,968,5.36,1.36,2263.81,4.0,Delayed
2025-07-31,East,Rail,775,799,5.03,1.03,2135.6,4.5,Delayed
2025-08-01,North,Road,326,412,2.85,0.0,1023.55,5.0,On Time
2025-08-02,East,Road,758,1347,7.13,3.13,2915.03,3.6,Delayed
2025-08-03,East,Road,631,855,5.25,1.25,1968.11,4.5,Delayed
2025-08-04,North,Road,540,788,4.73,0.73,1799.56,5.0,Delayed
2025-08-05,West,Air,501,1088,4.96,0.96,2293.85,4.4,Delayed
2025-08-06,North,Rail,146,1265,5.45,1.45,2718.46,4.0,Delayed
2025-08-07,West,Road,332,534,4.58,0.58,1088.66,4.8,Delayed
2025-08-08,East,Road,404,77,0.67,0.0,552.53,5.0,On Time
2025-08-09,East,Road,625,763,5.23,1.23,2034.78,3.9,Delayed
2025-08-10,East,Road,242,1112,5.72,1.72,2306.49,4.3,Delayed
2025-08-11,South,Road,514,1346,5.84,1.84,2981.85,4.4,Delayed
2025-08-12,West,Road,612,1304,6.34,2.34,2906.77,3.6,Delayed
2025-08-13,South,Road,472,135,1.89,0.0,596.18,5.0,On Time
2025-08-14,South,Rail,665,175,3.84,0.0,809.97,5.0,On Time
2025-08-15,North,Rail,985,861,6.39,2.39,2240.3,4.0,Delayed
2025-08-16,South,Road,358,586,4.25,0.25,1397.91,5.0,Delayed
2025-08-17,North,Road,755,194,3.22,0.0,703.44,4.9,On Time
2025-08-18,North,Rail,570,1285,7.08,3.08,2898.67,3.1,Delayed
2025-08-19,South,Road,111,74,1.46,0.0,219.78,4.9,On Time
2025-08-20,West,Air,429,1467,7.43,3.43,3057.32,3.1,Delayed
2025-08-21,West,Rail,835,116,2.98,0.0,648.1,5.0,On Time
2025-08-22,West,Road,883,282,3.37,0.0,967.18,5.0,On Time
2025-08-23,West,Road,457,158,3.35,0.0,483.55,4.6,On Time
2025-08-24,West,Rail,507,1219,6.07,2.07,2576.85,4.0,Delayed
2025-08-25,South,Road,767,160,2.62,0.0,709.75,4.7,On Time
2025-08-26,South,Rail,472,277,2.41,0.0,711.95,4.8,On Time
2025-08-27,East,Air,107,160,1.29,0.0,326.39,5.0,On Time
2025-08-28,West,Rail,221,83,2.14,0.0,384.01,4.6,On Time
